firma1,beziehung,firma2
Schweinezuchtanlage Wiechmann GbR,hat den Betreiber,"Wiechmann, Ingo"
"SecAnim GmbH, NL Malchin An der Landwehr, 17139 Malchin",hat die Muttergesellschaft,"SARIA Bio -Industrie GmbH Werner Str. 95, 59379 Selm"
"SecAnim GmbH, NL Malchin An der Landwehr, 17139 Malchin",hat den Betreiber,"SecAnim GmbH, NL Malchin"
AEA Wassermann,hat die Muttergesellschaft,Wassermann Recycling GmbH
AEA Nehlsen-Plump,hat die Muttergesellschaft,"Nehlsen GmbH & Co. KG, NL Nehlsen-Plump Betriebsstätte Neubrandenburg"
AEA Nehlsen-Plump,hat den Betreiber,Nehlsen GmbH & Co. KG
Darguner Brauerei,hat die Muttergesellschaft,Darguner Brauerei GmbH
Darguner Brauerei,hat den Betreiber,Darguner Baruerei
Schweinemastanlage,hat die Muttergesellschaft,Kummerower Schweineproduktion GmbH & Co. KG
MVA + SMA Leuschentin Meyer,hat die Muttergesellschaft,GbR Bernd und Frank Meyer
MRR GmbH Halle NL Bitterfeld,hat die Muttergesellschaft,MRR Mitteldeutsche Rohstoff-Recycling GmbH
INEOS Vinyls Deutschland GmbH Werk Schkopau,hat die Muttergesellschaft,INEOS Vinyls Deutschland GmbH
Vinnolit Schkopau GmbH  Werk Schkopau,hat die Muttergesellschaft,Vinnolit Schkopau GmbH
AKT Altmärker Kunststoff-Technik GmbH & Co. KG,hat den Betreiber,Axel Matthei
LBR Logistik Beratung Rohstoffe GmbH,hat den Betreiber,Udo Deppenmeier / RA Dr. Kühne
KSM Castings Wernigerode GmbH,hat den Betreiber,"Dr. Boshoff, Frank"
VNG Bad Lauchstädt,hat die Muttergesellschaft,VNG Verbundnetz Gas AG
CBW Chemie GmbH Bitterfeld-Wolfen BE Wolfen,hat die Muttergesellschaft,CBW Chemie GmbH Bitterfeld-Wolfen
CBW Chemie GmbH Bitterfeld-Wolfen BE Bitterfeld,hat die Muttergesellschaft,CBW Chemie GmbH Bitterfeld-Wolfen
VASA Kraftwerke-Pool GmbH & Co. KG,hat den Betreiber,"Stadtwerke-Altmärkische Gas-, Wasser- und Elektrizitätswerke GmbH Stendal"
VERBIO Ethanol Zörbig GmbH & Co. KG,hat die Muttergesellschaft,VERBIO AG
Pfeifer & Langen KG Werk Könnern,hat die Muttergesellschaft,Pfeifer & Langen KG
TOTAL Raffinerie Mitteldeutschland GmbH (Raffinerie/POX),hat die Muttergesellschaft,TOTAL Raffinerie Mitteldeutschland GmbH
RST Recycling Sanierung Thale GmbH RECB,hat die Muttergesellschaft,RST Recycling Sanierung Thale GmbH
"Magdeburg Städtischer Abfallwirtschaftsbetrieb Deponie Hängelsberge Teilfelder 1b,2a und 2b",hat die Muttergesellschaft,Landeshauptstadt Magdeburg Städtischer Abfallwirtschaftsbetrieb
BMG Recycling GmbH BMG Recycling GmbH,hat den Betreiber,Andreas Böhme
Nordzucker AG Werk Klein Wanzleben,hat die Muttergesellschaft,Nordzucker AG
"Südzucker AG Mannheim / Ochsenfurt, Werk Zeitz",hat die Muttergesellschaft,Südzucker AG Mannheim/Ochsenfurt Werk Zeitz
Dow Olefinverbund Sol- und Speicherfeld,hat die Muttergesellschaft,Dow Olefinverbund GmbH
Dow Wolff Cellulosics GmbH Werk Bitterfeld,hat die Muttergesellschaft,Dow Wolff Cellulosics GmbH
"Styron Deutschland GmbH, Werk Schkopau - EPS und Hilfsstoffe",hat die Muttergesellschaft,Styron Deutschland GmbH
Baufeld Chemie GmbH Betriebsstätte Leuna,hat die Muttergesellschaft,Baufeld Leuna GmbH
ILE InfraLeuna Energiegesellschaft mbH,hat die Muttergesellschaft,InfraLeuna GmbH
EUROGLAS GmbH,hat den Betreiber,Euroglas GmbH
Hallesche Wasser und Stadtwirtschaft GmbH,hat die Muttergesellschaft,Stadtwerke Halle GmbH
Momentive Specialty Chemicals Leuna GmbH,hat den Betreiber,"Dr. Uwe Wustmann, Jeroen Triesscheijn, Julia Harp"
Schweinezucht Morgenrot GmbH,hat die Muttergesellschaft,Schweinezucht Morgenrot GmbH u. Vorharz-Ferkel GmbH & Co KG
"Geflügelhof Möckern, Möckern Mast",hat die Muttergesellschaft,"Geflügelhof Möckern, ZNL der Lohmann & Co. AG"
"Geflügelhof Möckern, Möckern Elterntierhaltung",hat die Muttergesellschaft,"Geflügelhof Möckern, ZNL der Lohmann & Co. AG"
MHKW Müllheizkraftwerk Rothensee GmbH,hat die Muttergesellschaft,"E.ON Energy from Waste, Städtische Werke Magdeburg"
Edelstahlbeizerei Eisleben GmbH,hat die Muttergesellschaft,Edelstahlbeizerei Eisleben GmbH Deutsche Derustit GmbH
Baumann & Burmeister GmbH Döllnitz,hat die Muttergesellschaft,Baumann & Burmeister GmbH
Linde AG Geschäftsbereich Linde Gas (Acetylenanlage),hat die Muttergesellschaft,Linde AG Geschäftsbereich Linde Gas
Horst Fuhse Mineralölraffinerie,hat den Betreiber,Fuhse Transport-GmbH
"Dow Olefinverbund GmbH, Werk Leuna",hat die Muttergesellschaft,Dow Olefinverbund GmbH
"Geflügelhof Möckern, Quedlinburg",hat die Muttergesellschaft,Wiesenhof-Geflügel Möckern GmbH
IDT Biologika GmbH,hat den Betreiber,Dr. Ralf Pfirmann
Deponie GmbH Altmarkkreis Salzwedel / Lindenberg,hat die Muttergesellschaft,Deponie GmbH Altmarkkreis Salzwedel
Recycling und Umweltschutz GmbH,hat die Muttergesellschaft,SUC Entsorgung GmbH Ohrdruf
Domo Caproleuna GmbH,hat die Muttergesellschaft,Domo Chemicals n.v.
MVV TREA Leuna GmbH,hat die Muttergesellschaft,MVV Energie AG
MIBRAG Mumsdorf,hat die Muttergesellschaft,Mitteldeutsche Braunkohlengesellschaft mbH
GuD-Kraftwerk Leuna Werkteil 2,hat die Muttergesellschaft,envia THERM GmbH
Heizkraftwerk Halle-Dieselstraße,hat die Muttergesellschaft,Heizkraftwerk Halle-Trotha GmbH
Arnold Husemann - Breitenbach,hat die Muttergesellschaft,Arnold Husemann
Arnold Husemann - Breitenbach,hat den Betreiber,Fa. Arnold Husemann
Dessauer Kläranlagen GmbH,hat die Muttergesellschaft,DVV Dessauer Kläranlagen GmbH
ZGG-Zeitzer Guss GmbH ZGG-Zeitzer Guss GmbH,hat die Muttergesellschaft,ZGG-Zeitzer Guss GmbH
Humana Milchindustrie Werk Bad Bibra,hat die Muttergesellschaft,Humana Milchindustrie GmbH
Kläranlage Halle-Nord GmbH,hat die Muttergesellschaft,Kläranlage Halle-Nord GmbH & Co. Betreiber KG
Kläranlage Halle-Nord GmbH,hat den Betreiber,Hallesche Wasser und Stadtwirtschaft GmbH (TELONON Abwasserbehandlung GmbH)
"Energie-, Wasser-, Abwassergesellschaft Geiseltal mbH, BT VKH",hat die Muttergesellschaft,"Energie-, Wasser-, Abwassergesellschaft Geiseltal mbH"
MIBRAG Deuben,hat die Muttergesellschaft,Mitteldeutsche Braunkohlengesellschaft mbH
Nemak Wernigerode GmbH & Co. KG,hat die Muttergesellschaft,Nemak  Wernigerode GmbH & Co. KG
Schatz Umwelt GmbH Brücken,hat die Muttergesellschaft,Schatz Umwelt GmbH
Landwirtschaft Wallhausen GmbH u. Co. KG,hat die Muttergesellschaft,Landwirtschaft Wallhausen GmbH &. Co. KG
Xentrys Leuna GmbH,hat die Muttergesellschaft,Domo Caproleuna GmbH
Ballenstedt AGRAR KG,hat die Muttergesellschaft,Ballenstedt Agrar KG
"K+S KALI GmbH, Werk  Zielitz",hat die Muttergesellschaft,K + S KALI GmbH
"Styron Deutschland GmbH, Werk Schkopau - Polystyrol",hat die Muttergesellschaft,Styron Deutschland GmbH
"Styron Deutschland GmbH, Werk Schkopau",hat die Muttergesellschaft,Styron Deutschland GmbH
JSR Hybrid Produktion und Vertrieb GmbH,hat die Muttergesellschaft,JSR Hybrid Produktion und Vertrieb Hirschmann GmbH
"Querfurter Frischei GmbH & Co. KG - Farnstädt, Köhlerweg",hat die Muttergesellschaft,Querfurter Frischei GmbH & Co. KG
Magdeburger Hafen GmbH Hansehafen/ Umschlagsterminal,hat die Muttergesellschaft,Magdeburger Hafen GmbH
Fleischwerk  Weißenfels GmbH,hat den Betreiber,Fleischwerk Weißenfels
Altmärkische Entsorgungs- und Transport GmbH,hat den Betreiber,Altmärkische Entsorgung und Transport GmbH
Fehr Umwelt Ost GmbH Aschersleben,hat die Muttergesellschaft,Fehr Umwelt Ost GmbH
Querfurter Frischei GmbH & Co. KG  -Gatterstädt-,hat die Muttergesellschaft,Querfurter Frischei GmbH & Co. KG Querfurter Frischei GmbH & Co. KG
Querfurter Frischei GmbH & Co. KG  -Gatterstädt-,hat den Betreiber,Querfurter Frischei GmbH & Co. KG
KWG-Kraftwerksgesellschaft Staßfurt mbH,hat die Muttergesellschaft,Sodawerk Staßfurt GmbH & Co. KG
Regenerative Energien Genthin GmbH,hat die Muttergesellschaft,R.E.A.AG Sehestedt
M+M Gesellschaft für Oberflächenveredelung GmbH,hat die Muttergesellschaft,M+M Gesellschaft für Oberflächenveredelung mbH
Dow Olefinverbund GmbH Werk Schkopau,hat die Muttergesellschaft,Dow Olefinverbund GmbH
MWG Galvanotec GmbH,hat die Muttergesellschaft,MWG Oberflächenveredlung  GmbH
MWG Eloxal GmbH,hat die Muttergesellschaft,MWG Oberflächenveredlung  GmbH
MWG Eloxal GmbH,hat die Muttergesellschaft,MWG Oberflächenveredlung  GmbH
Solegewinnung und -aufbereitung,hat die Muttergesellschaft,Stadt Bad Dürrenberg
Köcher & Meuser KG,hat die Muttergesellschaft,Köcher KG
Linde Gas Produktionsgesellschaft mbH & Co. KG / TOTAL,hat die Muttergesellschaft,Linde Gas Produktionsgesellschaft mbH & Co. KG
REMONDIS Industrie Service GmbH & Co. KG,hat die Muttergesellschaft,REMONDIS AG & Co. KG
Entwässerungsbetrieb der Lutherstadt Wittenberg,hat den Betreiber,Entwässerungsbetrieb
Schweinemast Tarthun GmbH/Berend v.d. Velde/Milchhof Aderstedt-Tarthun,hat den Betreiber,Van der Velde Agrar GmbH
DB Bahnbau Gruppe GmbH Bereich Recycling Standort Königsborn,hat die Muttergesellschaft,DB Bahnbau Gruppe GmbH
Agrargenossenschaft Elbeland e.G. Scharlibbe,hat die Muttergesellschaft,Agrargenossenschaft Elbeland e.G.
"SecAnim GmbH, NL Mützel Rauhes Gehege 1, 39307 Mützel",hat die Muttergesellschaft,"SecAnim GmbH Malchin An der Landwehr, 17139 Malchin"
"SecAnim GmbH, NL Mützel Rauhes Gehege 1, 39307 Mützel",hat den Betreiber,"SecAnim GmbH, NL Mützel"
GKW-Gemeinschaftsklärwerk Bitterfeld-Wolfen GmbH,hat den Betreiber,GKW Betriebsgesellschaft  mbH & Co. KG Greppin
Evonik Degussa GmbH,hat den Betreiber,Evonik Degussa GmbH Werk Rheinfelden
SITA Umtech-Zweigniederlassung der SITA Ost GmbH & CO.KG,hat die Muttergesellschaft,SITA Ost GmbH & Co. KG
Schima GmbH&Co.KG Umweltdienste Dessau,hat die Muttergesellschaft,Schima Verwertungs-und Beteiligungs- gesellschaft
HRG Heisterner Holz Recycling  GmbH,hat die Muttergesellschaft,HRG Heisterner Holz Recycling GmbH
"SecAnim GmbH, NL Schwerz Göttlitzer Weg 1, 06188 Schwerz",hat die Muttergesellschaft,"SecAnim GmbH Malchin An der Landwehr, 17139 Malchin"
"SecAnim GmbH, NL Schwerz Göttlitzer Weg 1, 06188 Schwerz",hat den Betreiber,"SecAnim GmbH, NL Schwerz"
MESA Agrar GmbH,hat die Muttergesellschaft,Mesa Agrar GmbH
van Gennip Tierzuchtanlagen GmbH & Co. KG,hat die Muttergesellschaft,van Gennip Tierzuchtanlagen GmbH & Co KG
Klärwerk Magdeburg/ Gerwisch,hat die Muttergesellschaft,Abwassergesellschaft mbH Magdeburg
Klärwerk Magdeburg/ Gerwisch,hat den Betreiber,Städtische Werke Magdeburg GmbH
STRABAG AG Mineralstoff-Aufbereitungsanlage Döllnitz,hat die Muttergesellschaft,STRABAG AG Direktion Verwertung Bereich Halle
Bördegut Wellen KG Agrargenossenschaft Schweineproduktion e.G.,hat den Betreiber,Hansen
"PCI Augsburg GmbH, Werk Wittenberg",hat die Muttergesellschaft,BASF SE
"PCI Augsburg GmbH, Werk Wittenberg",hat den Betreiber,PCI Augsburg GmbH
BASF Construction Polymers GmbH,hat die Muttergesellschaft,BASF SE
BASF Construction Polymers GmbH,hat den Betreiber,PCI Augsburg GmbH
"SIG Combiblock GmbH & Co. KG, Werk 4 Wittenberg",hat die Muttergesellschaft,SIG Combiblock GmbH & Co. KG
"SIG Combiblock GmbH & Co. KG, Werk 4 Wittenberg",hat den Betreiber,Dr. Thomas Kloubert
Gut Mennewitz GmbH,hat die Muttergesellschaft,WIMEX Agrarprodukte Import & Export GmbH
"Geflügelhof Möckern, Rottenau Mast",hat die Muttergesellschaft,"Geflügelhof Möckern, ZNL Lohmann & Co. AG"
Esco GmbH & Co. KG Werk Bernburg,hat die Muttergesellschaft,esco - european salt Company GmbH & Co. KG
Solvay Chemicals GmbH,hat die Muttergesellschaft,SOLVAY CHEMICALS GmbH
Agrarunternehmen Barnstädt e.G. Etzdorf,hat die Muttergesellschaft,Agrarunternehmen Barnstädt e.G.
ROMONTA GmbH,hat die Muttergesellschaft,ROMONTA Bergwerks Holding AG
"Geflügelhof Möckern, Junghennenaufzucht Stegelitz",hat die Muttergesellschaft,"Geflügelhof Möckern, ZNL der Lohmann & Co. AG"
"Geflügelhof Möckern, Wahlitz Mast",hat die Muttergesellschaft,"Geflügelhof Möckern, ZNL der Lohmann & Co. AG"
"Geflügelhof Möckern, Karith Mast",hat die Muttergesellschaft,"Geflügelhof Möckern, ZNL der Lohmann & Co. AG"
"Geflügelhof Möckern, Loburg - Rottenau Elterntierhaltung",hat die Muttergesellschaft,Geflügelhof Möckern ZNL der Lohmann & Co. AG
"Geflügelhof Möckern, Loburg - Rottenau Elterntierhaltung",hat den Betreiber,"Geflügelhof Möckern, ZNL der Lohmann & Co. AG"
Olsberg Hermann Everken GmbH,hat die Muttergesellschaft,Olsberg Hermann Everken GmbH Werk Königshütte
Spitzenstromerzeugungsanlage Großkayna,hat die Muttergesellschaft,envia THERM GmbH
ICS Industriechemikalien Schwefelnatrium GmbH,hat den Betreiber,Dr. Rudolf Haase
"Umweltschutz Mitte GmbH, NL Bad Lauchstädt",hat die Muttergesellschaft,Umweltschutz Mitte GmbH
ORGANICA Feinchemie GmbH Wolfen,hat den Betreiber,ORGANICA Feunchemie GmbH Wolfen
FELS-WERKE Kalkwerk Kaltes Tal,hat die Muttergesellschaft,FELS-WERKE GmbH
FELS-WERKE Kalkwerk Rübeland,hat die Muttergesellschaft,FELS-WERKE GmbH
FELS-WERKE Kalkwerk Hornberg,hat die Muttergesellschaft,FELS-WERKE GmbH
RMO Reinstmetalle Osterwieck GmbH,hat den Betreiber,PPP Pure Metals GmbH
Schweinezucht Gladau GmbH -Demsin -,hat die Muttergesellschaft,Schweinezucht Gladau GmbH
Deponie Griebo (MDSE),hat die Muttergesellschaft,MDSE Mitteldeutsche Sanierungs- und Entsorgungs mbH
Deponie Griebo (MDSE),hat den Betreiber,MDSE Mitteldeutsche Sanierungs- und Entsorgungsgesellschaft mbH
"Lobbe  Industrieservice GmbH & Co KG, NL Ost",hat die Muttergesellschaft,Lobbe Industrieservice GmbH & Co KG  Iserlohn
"Lobbe  Industrieservice GmbH & Co KG, NL Ost",hat den Betreiber,Lobbe Industriesevice GmbH & Co KG
Landwirschaftsbetrieb Siegfried Böhm,hat die Muttergesellschaft,Landwirtschaftsbetrieb Siegfried Böhm
Stadtwerke Leipzig GmbH Biomasseheizkraftwerk Piesteritz,hat die Muttergesellschaft,Stadtwerke Leipzig GmbH
SLKW Wolfen,hat die Muttergesellschaft,envia THERM GmbH
GuD-Kraftwerk Bitterfeld,hat die Muttergesellschaft,envia THERM GmbH
MIBRAG Wählitz,hat die Muttergesellschaft,Mitteldeutsche Braunkohlengesellschaft mbH
Kahlwinkel Agrar GmbH & Co. KG Steinburg,hat die Muttergesellschaft,Kahlwinkel Agrar GmbH & Co. KG
Sensient Imaging Technologies GmbH,hat den Betreiber,Dr. Olaf Gelsen
E. und M. Schweinemast GmbH & Co. KG,hat die Muttergesellschaft,E. u. M. Schweinemast GmbH u. Co.KG
E. und M. Schweinemast GmbH & Co. KG,hat die Muttergesellschaft,E. u. M. Schweinemast GmbH u. Co.KG
VERBIO Diesel Bitterfeld GmbH & Co. KG,hat die Muttergesellschaft,VERBIO Vereinigte BioEnergie AG
Fehr Umwelt Ost GmbH Wolfen,hat die Muttergesellschaft,Fehr Umwelt Ost GmbH
ALFRA Geflügel GmbH & Co. Landwirtschaftliche Besitz KG,hat den Betreiber,ALFRA  Landwirtschaftliche Produktions GmbH
Glunz AG Werk Nettgau,hat den Betreiber,Glunz AG Meppen
MUEG Mitteldt. Umwelt- und Entsorgungs GmbH Krumpa,hat die Muttergesellschaft,MUEG Mitteldeutsche Umwelt- und Entsorgung GmbH
MUEG Mitteldt. Umwelt- und Entsorgungs GmbH Krumpa,hat den Betreiber,MUEG mbH
MUEG Mitteldt. Umwelt- und Entsorgungs GmbH Beuna,hat die Muttergesellschaft,MUEG Mitteldeutsche Umwelt- und Entsorgung GmbH
MUEG Mitteldt. Umwelt- und Entsorgungs GmbH Beuna,hat den Betreiber,MUEG mbH
Tagebau Profen,hat die Muttergesellschaft,Mitteldeutsche Braunkohlengesellschaft mbH
Graepel - STUV GmbH,hat die Muttergesellschaft,Graepel - STUV GmbH Graepel
"SCHWENK Zement KG, Werk Bernburg",hat die Muttergesellschaft,SCHWENK Zement KG
WAD GmbH Halle,hat die Muttergesellschaft,WAD Wertstoffaufbereitung Duisburg GmbH
WAD GmbH Dessau,hat die Muttergesellschaft,WAD Wertstoffaufbereitung Duisburg GmbH
Agrargenossenschaft Löberitz e.G.  - Schweineanlage,hat die Muttergesellschaft,Agrargenossenschaft Löberitz e.G.
Schweinemast Poppel GmbH & Co. KG - Poppel,hat die Muttergesellschaft,Schweinemast Poppel GmbH & Co. KG
Woestmann & Sohn Schweinemast,hat die Muttergesellschaft,Woestmann & Sohn
Ferkelproduktion Großmühlingen GmbH & Co. KG,hat den Betreiber,Ferkelproduktion Großmühlingen GmbH & Co.
Schweinezucht Gladau GmbH - Hübitz -,hat die Muttergesellschaft,Schweinezucht Gladau GmbH
Schweinezucht Gladau GmbH -,hat die Muttergesellschaft,Schweinezucht Gladau GmbH
Bayerische Milchindustrie e.G.,hat den Betreiber,Bayerische Milchindustrie eG
Ilsenburger Grobblech GmbH,hat die Muttergesellschaft,Salzgitter AG
Deponie Freyburg/Zeuchfeld,hat die Muttergesellschaft,Abfallwirtschaft Sachsen-Anhalt Süd AöR
Drewitzer Sauenhaltungs GmbH & Co. KG,hat die Muttergesellschaft,Drewitzer Sauenhaltungs GmbH & Co.KG
Stork Umweltdienste GmbH Köselitz,hat die Muttergesellschaft,Stork Umweltdienste GmbH
Alfra Landwirtschaftliche Produktions GmbH & Co. KG,hat die Muttergesellschaft,Spreenhagener Vermehrungsbetrieb für Legehennen GmbH
Domäne Alikendorf GbR,hat den Betreiber,Joachim Klette
Schweineproduktion Schwaneberg GmbH,hat den Betreiber,Patrick van den Akker
K. Börde-Eier GmbH,hat den Betreiber,J.P. Kwetters
Deponie BRIFA,hat die Muttergesellschaft,Anhalt-Bitterfelder Kreiswerke GmbH
AUREC Herstellung von Versatzstoffen,hat die Muttergesellschaft,AUREC Gesellschaft für Abfallverwertung und Recycling mbH
AUREC Herstellung von Versatzstoffen,hat den Betreiber,AUREC GmbH
AUREC Gesellschaft für Abfallverwertung und Recycling mbH,hat den Betreiber,AUREC GmbH
Mineralölhandel Hans Schmidt GmbH & Co. KG,hat die Muttergesellschaft,Hans Schmidt Mineralölhandel GmbH & Co.KG
Mineralölhandel Hans Schmidt GmbH & Co. KG,hat den Betreiber,Werner und Gerhard Schmidt
Autorecycling Andislebener Kreuz GmbH,hat die Muttergesellschaft,Autorecycling Andislebener Kreuz GmbH GF Georg Trott
BAUER Umwelt GmbH Bereich Entsorgung Mitte,hat die Muttergesellschaft,BAUER Umwelt GmbH
BVGS-Baustoffvertriebsgesellschaft mbH,hat den Betreiber,BVGS
Constantia Labels GmbH,hat die Muttergesellschaft,Constantia Labels GmbH Herr Dr. Apel
Deponie Leimrieth,hat die Muttergesellschaft,Landkreis Hildburghausen
DEUSA International GmbH Sol-Bergwerk,hat die Muttergesellschaft,DEUSA International GmbH
E.ON Thüringer Energie AG HKW Bad Salzungen,hat die Muttergesellschaft,E.ON Thüringer Energie AG
Fa. Jens Seiner Autoverwertung,hat die Muttergesellschaft,Fa.Jens Seiner Autotechnik Geilsdorf
Fa. Jens Seiner Autoverwertung,hat den Betreiber,Autotechnik Seiner
GHB Gesellschaft zur Herstellung von Bindemitteln und Sorbenten,hat den Betreiber,GHB mbH & CoKG
Gölz Entsorgung GmbH,hat den Betreiber,Gölz Entsorgungs-GmbH
AKZO Nobel  Functional Chemicals GmbH & Co. KG,hat die Muttergesellschaft,AKZO Nobel Functional  Chemicals GmbH & Co. KG
AKZO Nobel  Functional Chemicals GmbH & Co. KG,hat den Betreiber,Akzo Nobel Functional Chemicals GmbH & Co. KG
GVV mbH BW Roßleben,hat die Muttergesellschaft,GVV mbH
GVV mbH BW Roßleben,hat den Betreiber,GHB mbH
Hausmülldeponie Krölpa-Chursdorf,hat die Muttergesellschaft,AWV
Hausmülldeponie Krölpa-Chursdorf,hat den Betreiber,Abfallwirtschaftszweckverband Ostthüringen
Sauenzuchtanlage Mörsdorf,hat die Muttergesellschaft,Mörsdorfer Agrar GmbH
Heizwerk Altenburg Nord,hat die Muttergesellschaft,Energie- und Wasserversorgung Altenburg GmbH
Humana Milchindustrie GmbH Werk Erfurt,hat den Betreiber,Humana Milchindustrie GmbH
Klärwerk Gera,hat die Muttergesellschaft,Zweckverband Wasser/ Abwasser Mittleres Elstertal
Klärwerk Gera,hat den Betreiber,OTWA GmbH
Kartonfabrik Porstendorf GmbH,hat den Betreiber,Andreas Prahl
mbw GmbH metallveredelung Niederlassung Sömmerda,hat die Muttergesellschaft,mbw GmbH metallveredelung Niederlassung Sömmerda Betriebsleiter
mbw GmbH metallveredelung Niederlassung Sömmerda,hat den Betreiber,mbw GmbH metallveredelung
M. Kummetat GmbH & Co. KG,hat die Muttergesellschaft,M. Kummetat GmbH & Co. KG Herr Marc Kummetat
M. Kummetat GmbH & Co. KG,hat den Betreiber,Herr Marc Kummetat
mbw GmbH  metallveredlung  NL Mühlhausen,hat die Muttergesellschaft,mbw GmbH metallveredlung
mbw GmbH  metallveredlung  NL Mühlhausen,hat den Betreiber,mbw GmbH metallveredelung
MWAG - NL UT Erfurt,hat die Muttergesellschaft,Müller-Weingarten AG Niederlassung Umformtechnik Erfurt
MWAG - NL UT Erfurt,hat den Betreiber,Schuler Müller Weingarten AG NL Umformtechnik ERFURT
REMONDIS Industrie Service GmbH & Co. KG Niederlassung Frießnitz,hat die Muttergesellschaft,REMONDIS AG & Co. KG
REMONDIS Industrie Service GmbH & Co. KG Niederlassung Frießnitz,hat den Betreiber,REMONDIS Industrie Service GmbH & Co. KG
ReFood GmbH & Co. KG NL Schwallungen,hat die Muttergesellschaft,"ReFood GmbH & Co. KG Selm Werner Str. 95, 59379 Selm"
ReFood GmbH & Co. KG NL Schwallungen,hat den Betreiber,"ReFood GmbH & Co. KG, NL Schwallungen"
Schmalkalden Stadtreinigung GmbH Betriebsstätte DBG Melkers,hat die Muttergesellschaft,Schmalkalden Stadtreinigung GmbH
Schweinemastanlage Langenwetzendorf,hat die Muttergesellschaft,FLESIMA Fleischschweinemast GmbH
