firma1,beziehung,firma2
"Saarstahl AG, Werk Burbach",hat die Muttergesellschaft,Saarstahl AG
Wasserhaltung Camphausen,hat die Muttergesellschaft,RAG Deutsche Steinkohle AG
Wasserhaltung Luisenthal,hat die Muttergesellschaft,RAG Deutsche Steinkohle AG
Wasserhaltung Reden,hat die Muttergesellschaft,RAG Deutsche Steinkohle AG
Wasserhaltung Viktoria,hat die Muttergesellschaft,RAG Deutsche Steinkohle AG
Drahtwerk Luisenthal GmbH,hat die Muttergesellschaft,Saarstahl AG
Bauglasindustrie GmbH,hat die Muttergesellschaft,Pilkington Deutschland AG
Abfallkurzzeitlager u.  HMD Meiningen,hat die Muttergesellschaft,Landkreis SM-MNG
Abfallkurzzeitlager u.  HMD Meiningen,hat den Betreiber,Kreiswerke Schmalkalden-Meiningen GmbH
Agrar e.G. Waltershausen / SMA Hörselgau,hat die Muttergesellschaft,Agrar e.G. Waltershausen
"Agrar GmbH ""Am Dün"" Deuna Schweinezuchtanlage Rüdigershagen",hat die Muttergesellschaft,"Agrar GmbH ""Am Dün""  Deuna Herr Werner Hesse, Geschäftsführer"
AIK / Deponie Wolfsberg,hat die Muttergesellschaft,Abfallwirtschaftsbetrieb des Ilmkreises
AKZO Nobel  Funktional Chemicals GmbH & Co. KG,hat die Muttergesellschaft,AKZO Nobel Funktional  Chemicals GmbH & Co. KG
Deponie Großlöbichau,hat die Muttergesellschaft,Zweckverband Restabfallbehandlung Ostthüringen (ZRO)
Deponie Leimrieth,hat die Muttergesellschaft,Landkreis Hildburghausen
Deponie Leipziger Straße,hat die Muttergesellschaft,Landratsamt Altenburger Land
Deuna Zement GmbH,hat die Muttergesellschaft,Dyckerhoff AG
Eichsfelder Ferkelaufzucht GmbH Agrar GmbH Küllstedt,hat die Muttergesellschaft,Eichsfelder Ferkelaufzucht GmbH entfällt
Eichsfelder Ferkelaufzucht GmbH Agrar GmbH Küllstedt,hat den Betreiber,Eichsfelder Ferkelaufzucht GmbH
Erdgasverdichterstation Rückersdorf,hat die Muttergesellschaft,WINGAS GmbH & Co. KG
Erdgasverdichterstation Rückersdorf,hat den Betreiber,WINGAS TRANSPORT GmbH & Co. KG (WINGAS TRANSPORT)
Galvanotechnik Holzapfel GmbH,hat den Betreiber,Jens Holzapfel
Gotha Druck und Verpackung GmbH & Co. KG,hat die Muttergesellschaft,GD Gotha Druck und Verpackung GmbH & Co. KG
Hans Schmidt Mineralölhandel GmbH & Co. KG,hat die Muttergesellschaft,"Hans Schmidt Mineralölhandel GmbH & Co.KG Mühltalstr. 24, 90766 Fürth"
Hausmülldeponie Krölpa-Chursdorf,hat die Muttergesellschaft,AWV
Heizkraftwerk Gera-Nord,hat die Muttergesellschaft,Stadtwerke Gera AG
Heizkraftwerk Gera-Nord,hat den Betreiber,Energieversorgung Gera GmbH
Heizkraftwerk Jena,hat die Muttergesellschaft,E.ON Energie AG
Heizkraftwerk Jena,hat den Betreiber,E.ON Thüringer Energie AG
Heizwerk Altenburg Nord,hat die Muttergesellschaft,Energie- und Wasserversorgung Altenburg GmbH
HKW Meuselwitz Lucka GmbH & Co. Betriebs- KG,hat den Betreiber,HKW Meuselwitz Lucka GmbH & Co. Betriebs KG
Koehler Greiz GmbH & Co. KG,hat die Muttergesellschaft,Papierfabrik August Koehler AG
K+S Standort Unterbreizbach,hat die Muttergesellschaft,K+S KALI GmbH Werk Werra
LEG Zwischenlager A & B,hat die Muttergesellschaft,Landesentwicklungsgesellschaft Thüringen mbH (LEG)
LEG Zwischenlager A & B,hat den Betreiber,ARGE Buchen / Michel Bau
Legehennenstallanlage  Gut Falkenhain,hat die Muttergesellschaft,WIMEX Agrarproduke Import & Export GmbH
Legehennenstallanlage  Gut Falkenhain,hat den Betreiber,Wimex Agrarprodukte Import & Export GmbH
